ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,date
9,83,84,80,83,€0,€4.6B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,9,33,26.27,23.76,2024-07-08
47,81,80,82,80,€0,€1.2B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,7,30,26.0,24.73,2024-07-08
22,81,81,82,81,€0,€1.7B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,7,31,26.36,24.19,2024-07-08
189,76,79,76,75,€0,€130M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,2,27,24.73,24.0,2024-07-08
1808,77,75,74,77,€0,€425M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,3,33,24.91,23.88,2024-07-08
18,81,81,81,80,€0,€2.6B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,7,31,24.55,23.74,2024-07-08
74,76,77,77,74,€0,€180M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,4,25,24.82,23.4,2024-07-08
46,80,80,80,79,€0,€320M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,30,29.0,25.73,2024-07-08
52,80,83,80,79,€0,€660M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,30,27.27,25.17,2024-07-08
8,74,73,74,73,€0,€423.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,2,26,22.45,23.38,2024-07-08
13,80,80,76,73,€0,€730.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,33,24.91,25.33,2024-07-08
1799,77,75,76,76,€0,€741.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,2,33,25.18,24.48,2024-07-08
7,76,77,76,76,€0,€684.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,4,31,28.18,25.13,2024-07-08
219,77,76,77,77,€0,€458M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,27,27.55,25.04,2024-07-08
240,82,84,83,81,€0,€1.2B,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,9,33,29.18,26.18,2024-07-08
245,75,78,75,73,€0,€432M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,30,23.91,22.53,2024-07-08
448,80,79,80,79,€0,€250M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,5,30,26.91,25.4,2024-07-08
457,80,79,82,80,€0,€150M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,4,33,25.91,24.18,2024-07-08
2014,72,72,70,72,€0,€55M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,2,27,25.45,24.37,2024-07-08
32,82,82,83,81,€0,€465.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,29,25.91,23.38,2024-07-08
66,76,77,77,75,€0,€734M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,4,28,27.55,24.57,2024-07-08
461,75,74,75,75,€0,€530M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,33,23.55,22.48,2024-07-08
1925,77,77,75,76,€0,€220.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,2,33,26.36,24.33,2024-07-08
112172,80,81,80,80,€0,€569.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,26,24.73,24.12,2024-07-08
95,75,75,76,76,€0,€548.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,4,30,26.18,24.27,2024-07-08
234,79,79,80,79,€0,€320M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,29,26.45,23.14,2024-07-08
48,80,81,80,79,€0,€660M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,8,26,27.27,26.19,2024-07-08
326,78,80,78,77,€0,€178M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,6,25,28.27,27.68,2024-07-08
17,73,74,72,74,€0,€395M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,3,30,26.55,23.63,2024-07-08
110,77,78,77,76,€0,€416.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,31,26.18,23.23,2024-07-08
144,77,72,77,76,€0,€228.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,2,31,26.55,25.29,2024-07-08
175,76,76,77,74,€0,€349.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,5,29,26.09,24.14,2024-07-08
247,77,78,78,75,€0,€281.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,5,28,25.55,24.0,2024-07-08
1952,71,72,72,69,€0,€15.3M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,30,24.27,23.83,2024-07-08
14,76,76,76,74,€0,€172.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,29,25.0,25.03,2024-07-08
55,74,74,73,73,€0,€160M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,28,25.0,25.54,2024-07-08
69,77,79,78,76,€0,€430M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,4,24,24.91,23.5,2024-07-08
237,78,80,78,78,€0,€220M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,4,27,24.18,24.33,2024-07-08
481,79,80,77,80,€0,€540M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,8,33,29.18,25.52,2024-07-08
110062,79,79,80,79,€0,€8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,1,1,29,24.73,24.66,2024-07-08
19,79,78,80,78,€0,€993.6M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,6,30,27.27,25.07,2024-07-08
36,77,80,75,76,€0,€279.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,4,32,24.45,22.97,2024-07-08
325,78,81,78,76,€0,€195M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,29,28.73,25.28,2024-07-08
327,75,74,73,73,€0,€126M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,30,26.82,26.27,2024-07-08
1318,85,87,86,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,26,26.27,25.69,2024-07-08
1794,73,73,71,71,€0,€169.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,1,1,33,24.55,24.21,2024-07-08
1876,75,75,74,75,€0,€240M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,28,27.73,25.86,2024-07-08
191,73,72,73,72,€0,€240M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,28,21.36,21.68,2024-07-08
78,74,72,76,74,€0,€80M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,28,25.0,23.75,2024-07-08
191,73,72,73,72,€0,€240M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,28,21.36,21.68,2024-07-08
38,74,72,74,73,€0,€151.7M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,3,29,26.18,24.34,2024-07-08
39,79,79,79,78,€0,€350M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,25,25.36,25.88,2024-07-08
1824,77,76,77,77,€0,€685.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,6,33,24.55,22.67,2024-07-08
50,71,69,72,70,€0,€71M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,3,28,25.09,24.21,2024-07-08
86,74,73,73,75,€0,€60M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,28,26.0,25.89,2024-07-08
236,77,80,77,76,€0,€240M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,30,24.73,25.13,2024-07-08
246,76,76,76,77,€0,€262.9M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,30,23.0,22.6,2024-07-08
23,76,75,77,75,€0,€304M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,5,31,25.27,24.74,2024-07-08
34,70,70,69,70,€0,€319.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,4,30,26.09,25.37,2024-07-08
65,76,80,76,76,€0,€200M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,4,26,23.91,24.27,2024-07-08
72,76,76,76,77,€0,€200M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,4,25,24.91,24.24,2024-07-08
483,78,80,78,77,€0,€370M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,7,28,27.64,27.46,2024-07-08
1337,85,81,85,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,26,27.73,28.04,2024-07-08
1386,77,78,77,74,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,26,26.36,25.96,2024-07-08
1745,71,70,73,69,€0,€18M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,1,30,26.09,25.13,2024-07-08
1819,70,71,70,70,€0,€60M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,1,27,25.91,24.37,2024-07-08
1923,73,71,73,71,€0,€107.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,1,1,32,25.36,25.59,2024-07-08
105035,82,82,82,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,26,26.55,26.0,2024-07-08
114899,69,67,70,68,€1.6M,€2.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,29,27.09,25.45,2024-07-08
229,74,75,73,74,€0,€120M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,5,28,26.82,24.18,2024-07-08
819,72,72,72,71,€0,€70.3M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,4,28,26.73,25.21,2024-07-08
1796,74,72,74,73,€0,€178.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,32,23.36,23.94,2024-07-08
1877,74,76,73,74,€0,€199.4M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,28,27.91,27.46,2024-07-08
64,76,76,76,78,€0,€160M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,4,25,26.73,25.2,2024-07-08
436,74,73,75,72,€0,€38M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,5,26,27.18,24.92,2024-07-08
453,76,77,76,76,€0,€8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,28,27.55,26.68,2024-07-08
673,72,71,72,72,€0,€128M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,5,26,23.18,22.23,2024-07-08
1335,84,86,85,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,10,26,27.27,25.65,2024-07-08
1343,82,82,82,82,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,26,28.18,27.04,2024-07-08
1800,71,71,71,71,€0,€16.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,1,30,25.18,23.63,2024-07-08
1860,76,75,76,76,€0,€45M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,4,33,26.09,23.39,2024-07-08
1943,76,79,75,74,€0,€215.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,31,25.45,24.0,2024-07-08
110374,78,78,78,74,€0,€270M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,5,27,26.45,25.3,2024-07-08
110556,74,77,74,72,€0,€75M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,2,26,26.45,25.85,2024-07-08
28,71,71,72,70,€0,€156.4M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,2,30,24.91,23.77,2024-07-08
88,69,67,69,70,€0,€22M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,30,25.27,24.87,2024-07-08
166,71,71,70,71,€0,€260.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,3,30,25.82,23.93,2024-07-08
205,70,71,70,69,€0,€43M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,26,24.73,25.31,2024-07-08
379,74,73,75,74,€0,€120M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,25,25.91,24.28,2024-07-08
485,70,70,69,71,€0,€90.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,28,26.18,24.21,2024-07-08
697,70,71,71,69,€0,€432M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,6,27,27.27,24.37,2024-07-08
1795,70,70,70,69,€0,€152.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,2,29,23.73,23.31,2024-07-08
1842,73,73,72,72,€0,€65M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,28,26.45,26.25,2024-07-08
1929,68,69,68,67,€0,€4.4M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,1,1,26,24.64,23.15,2024-07-08
100409,74,76,74,75,€0,€145.3M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,3,28,25.27,24.5,2024-07-08
111674,71,74,70,70,€0,€75.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,4,30,28.55,26.47,2024-07-08
112139,75,86,75,73,€0,€295.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,6,30,28.73,26.23,2024-07-08
112387,74,73,76,71,€0,€250.7M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,5,30,26.55,25.0,2024-07-08
112893,75,78,73,73,€0,€330M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,2,30,28.64,24.2,2024-07-08
230,73,74,73,73,€0,€120M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,5,27,24.36,22.7,2024-07-08
383,76,78,77,74,€0,€111M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,20,29.91,29.6,2024-07-08
452,73,74,72,72,€0,€55M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,3,30,27.36,25.2,2024-07-08
467,71,70,72,71,€0,€29M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,1,30,26.91,26.3,2024-07-08
472,75,75,76,74,€0,€45M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,31,25.09,24.84,2024-07-08
605,78,81,78,75,€0,€330.6M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,29,28.82,27.41,2024-07-08
1809,73,74,72,73,€0,€98M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,30,22.91,22.2,2024-07-08
1917,65,64,63,65,€0,€9.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,26,23.55,23.5,2024-07-08
1961,70,69,70,70,€0,€70M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,30,26.55,24.73,2024-07-08
3,70,69,70,69,€0,€39M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,30,26.09,23.27,2024-07-08
25,76,77,76,76,€0,€278.7M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,4,27,27.09,25.67,2024-07-08
70,74,73,74,71,€0,€110M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,2,25,24.45,24.88,2024-07-08
94,71,72,71,72,€0,€9M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,28,26.55,25.04,2024-07-08
106,69,70,67,70,€0,€19.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,2,30,22.27,21.93,2024-07-08
109,72,70,72,71,€0,€141M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,30,27.73,26.23,2024-07-08
210,68,70,67,68,€0,€34M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,1,24,27.0,25.33,2024-07-08
230,73,74,73,73,€0,€120M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,5,27,24.36,22.7,2024-07-08
59,68,68,69,69,€0,€70M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,1,28,26.0,22.61,2024-07-08
68,71,73,69,71,€0,€70M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,1,1,27,26.82,24.48,2024-07-08
171,68,67,69,67,€0,€56.4M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,30,22.55,24.97,2024-07-08
206,73,72,74,72,€0,€89M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,26,25.55,24.58,2024-07-08
231,74,73,75,71,€0,€184M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,5,27,22.91,23.63,2024-07-08
378,75,75,74,76,€0,€92M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,24,26.55,25.17,2024-07-08
449,78,77,79,75,€0,€175M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,3,33,29.0,26.0,2024-07-08
479,76,77,76,75,€0,€15M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,1,33,27.64,24.82,2024-07-08
480,76,75,77,77,€0,€10M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,28,30.27,27.36,2024-07-08
573,67,70,67,66,€0,€95M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,1,30,27.91,26.17,2024-07-08
607,75,88,77,71,€0,€290.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,30,29.73,26.7,2024-07-08
873,69,71,69,69,€0,€14M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,4,28,27.55,25.32,2024-07-08
896,68,68,67,67,€0,€65M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,28,24.0,23.93,2024-07-08
1369,83,85,83,82,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,26,28.64,27.96,2024-07-08
1387,76,76,76,76,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,6,26,25.36,24.38,2024-07-08
1801,70,70,71,69,€0,€20M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,1,29,26.91,24.97,2024-07-08
1831,76,75,75,76,€0,€135M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,4,27,28.18,26.0,2024-07-08
1853,70,70,70,70,€0,€49M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,1,30,26.55,24.07,2024-07-08
1879,74,74,73,73,€23.2M,€200M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,9,26,26.36,25.31,2024-07-08
1906,72,72,73,72,€0,€119.8M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,4,30,24.64,21.93,2024-07-08
1939,67,69,67,67,€0,€43M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,30,24.91,24.63,2024-07-08
1947,64,64,64,63,€0,€2.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,1,28,26.36,27.21,2024-07-08
10029,76,76,77,75,€0,€331.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,4,28,27.73,24.71,2024-07-08
101059,72,72,72,72,€0,€160M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,7,28,22.82,23.32,2024-07-08
110741,68,66,69,68,€0,€76M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,1,30,25.64,23.87,2024-07-08
112096,71,74,74,67,€0,€25.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,3,27,28.55,25.41,2024-07-08
112996,71,72,73,70,€0,€427.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,5,24,27.82,24.71,2024-07-08
15,70,69,71,70,€0,€28M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,30,27.45,25.3,2024-07-08
254,68,72,68,68,€0,€56M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,5,28,24.0,23.61,2024-07-08
463,73,73,74,73,€0,€13M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,32,24.09,23.31,2024-07-08
468,70,68,70,71,€0,€5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,1,29,28.0,24.83,2024-07-08
1354,84,85,84,83,€0,€0,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,10,8,26,26.91,27.0,2024-07-08
1788,68,68,68,69,€0,€12.6M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,1,27,24.09,21.81,2024-07-08
1790,67,69,66,66,€0,€4.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,1,28,26.27,24.57,2024-07-08
1792,72,74,72,71,€0,€145M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,1,28,26.09,24.71,2024-07-08
1806,70,70,70,69,€0,€55M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,1,30,23.45,24.7,2024-07-08
1896,76,78,76,75,€0,€100M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,3,26,27.36,25.23,2024-07-08
1910,70,68,69,70,€0,€27.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,26,26.18,24.15,2024-07-08
1935,62,60,63,61,€0,€2M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,28,24.73,23.82,2024-07-08
1960,69,69,70,68,€0,€98.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,30,24.91,23.57,2024-07-08
10031,69,68,69,69,€0,€17.6M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,3,1,30,23.82,23.03,2024-07-08
100646,68,68,68,67,€0,€26.3M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,4,1,30,24.55,22.63,2024-07-08
100769,77,75,76,78,€35.7M,€350M,Balanced,Normal,Normal,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,7,30,27.18,24.37,2024-07-08
101085,73,73,72,72,€0,€78.1M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,9,7,28,26.82,25.64,2024-07-08
101088,71,72,71,70,€0,€70M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,6,28,25.27,24.21,2024-07-08
110329,70,69,72,70,€0,€34.2M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,8,1,30,26.18,25.0,2024-07-08
110636,70,70,71,70,€0,€54.3M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,7,1,29,25.09,23.62,2024-07-08
110832,73,76,73,72,€0,€50M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,2,1,33,26.27,25.55,2024-07-08
110839,69,67,69,68,€0,€4.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,6,1,30,26.0,24.5,2024-07-08
111088,66,66,65,65,€0,€4.5M,Slow,Little,Safe,Organised,Little,Little,Contain,Deep,Narrow,Cover,5,1,28,26.36,25.79,2024-07-08
